X,Y,nchk
625000,1175000,40
650000,1125000,87
650000,1150000,1991
650000,1175000,4402
650000,1225000,2149
650000,1250000,891
650000,1275000,203
675000,1100000,22
675000,1125000,7005
675000,1150000,4925
675000,1175000,1726
675000,1200000,594
675000,1225000,2400
675000,1250000,1905
675000,1275000,4977
700000,1100000,827
700000,1125000,4698
700000,1150000,8634
700000,1175000,962
700000,1225000,5155
700000,1250000,5946
700000,1275000,1414
725000,1100000,2331
725000,1125000,7795
725000,1150000,17495
725000,1175000,95
725000,1200000,13
725000,1250000,207
725000,1275000,123
750000,1100000,552
750000,1125000,2344
750000,1150000,1910
750000,1175000,519
750000,1200000,32
775000,1100000,33
775000,1125000,1796
775000,1150000,786
775000,1175000,3
800000,1125000,277
800000,1150000,405
800000,1175000,1
825000,1150000,5
