"","scientific_name","p.value","c.hat"
"1","Zosterops palpebrosus",0.89,0.80003695259563
"2","Yungipicus nanus",0.222,0.785919191507941
"3","Vanellus indicus",0.089,2.13271737130353
"4","Upupa epops",0.099,1.90709650134497
"5","Turdus simillimus",0.043,2.30713706599903
"6","Turdoides subrufa",0.187,1.24115321949411
"7","Turdoides striata",0.58,0.792608510061804
"8","Turdoides affinis",0.079,1.67138926370801
"9","Treron affinis",0.853,0.260191077850798
"10","Terpsiphone paradisi",0.41,0.402944343142017
"11","Streptopelia senegalensis",0.051,3.01754938873207
"12","Streptopelia decaocto",0.146,1.86543003190577
"13","Streptopelia chinensis",0.025,1.38028543785757
"14","Sitta frontalis",0.451,0.709907583822655
"15","Saxicola caprata",0.46,0.989537431182705
"16","Rubigula gularis",0.225,1.17129783319196
"17","Rhipidura albogularis",0.075,2.32845645158871
"18","Pycnonotus luteolus",0.023,2.97051248450657
"19","Pycnonotus jocosus",0.689,0.967538415793399
"20","Pycnonotus cafer",0.36,1.04065399826576
"21","Psittacula krameri",0.134,1.43020385189379
"22","Psittacula cyanocephala",0.253,1.196248487345
"23","Psittacula columboides",0.082,1.40849486007417
"24","Psilopogon zeylanicus",0.61,0.613480236530605
"25","Psilopogon viridis",0.155,1.04561505601722
"26","Psilopogon malabaricus",0.017,3.12768885275473
"27","Psilopogon haemacephalus",0.575,0.620682730838777
"28","Prinia socialis",0.02,4.63464856207048
"29","Prinia hodgsonii",0.087,1.86838443945291
"30","Pomatorhinus horsfieldii",0.795,0.734337441093054
"31","Picus xanthopygaeus",0.959,0.164788012814932
"32","Phylloscopus trochiloides",0.224,1.12790523247181
"33","Phylloscopus nitidus",0.039,3.03283146938003
"34","Pericrocotus flammeus",0.027,2.16930444639838
"35","Pericrocotus cinnamomeus",0.298,0.512516236147402
"36","Pellorneum ruficeps",0.898,0.215938089721636
"37","Pavo cristatus",0.085,1.58382703242546
"38","Passer domesticus",0.003,2.16067140055909
"39","Parus cinereus",0.092,1.95154700236193
"40","Orthotomus sutorius",0.005,1.71736211968834
"41","Oriolus xanthornus",0.134,1.35745559912798
"42","Oriolus kundoo",0.682,0.549720980425485
"43","Ocyceros griseus",0.233,1.17879726189408
"44","Myophonus horsfieldii",0.001,1.53995017312973
"45","Muscicapa dauurica",0.067,1.5971717982101
"46","Motacilla maderaspatensis",0,111.872554059928
"47","Motacilla cinerea",0,13.7353641845007
"48","Montecincla fairbanki",0.092,1.94466203612995
"49","Microcarbo niger",0.003,10.1775799294313
"50","Merops orientalis",0.303,1.0378085211847
"51","Merops leschenaulti",0.089,1.74397043363319
"52","Loriculus vernalis",0.001,1.73067073038409
"53","Leptocoma zeylonica",0.643,0.768739542247306
"54","Leptocoma minima",0.424,0.988805337294096
"55","Lanius schach",0.278,1.09677717925254
"56","Lanius cristatus",0.091,1.87614538894555
"57","Irena puella",0.756,0.398023996415581
"58","Iole indica",0.825,0.760641149157059
"59","Hypsipetes ganeesa",0.81,0.626229553974776
"60","Hypothymis azurea",0.049,3.59347631054648
"61","Hirundo rustica",0,57.6208463630772
"62","Hierococcyx varius",0.479,0.726380664873873
"63","Halcyon smyrnensis",0.023,2.33077455067601
"64","Gracula indica",0.001,1.74877691244849
"65","Glaucidium radiatum",0.297,1.009550465666
"66","Geokichla citrina",0.267,0.94590522852428
"67","Gallus sonneratii",0.116,1.27671665692299
"68","Francolinus pondicerianus",0.619,0.296346004224223
"69","Ficedula nigrorufa",0.128,1.61814748890862
"70","Eudynamys scolopaceus",0.013,4.15293404895755
"71","Egretta garzetta",0.694,0.299105331446966
"72","Dinopium benghalense",0.605,0.706840276824832
"73","Dicrurus paradiseus",0.304,1.05599471659921
"74","Dicrurus macrocercus",0.745,0.619606866864936
"75","Dicrurus leucophaeus",0.052,2.83199286109605
"76","Dicrurus aeneus",0.031,2.64490432553827
"77","Dicaeum erythrorhynchos",0.515,0.721606946798763
"78","Dicaeum concolor",0.975,0.537994698188118
"79","Dendrocitta vagabunda",0.075,1.52965884910865
"80","Dendrocitta leucogastra",0.834,0.459517578570176
"81","Cypsiurus balasiensis",0.246,0.985015019568342
"82","Cyornis tickelliae",0.074,1.68509640378484
"83","Culicicapa ceylonensis",0.179,1.41044537071206
"84","Corvus splendens",0.013,1.3571218189707
"85","Corvus macrorhynchos",0.12,1.12394894450601
"86","Coracias benghalensis",0.425,0.537223018696389
"87","Copsychus saularis",0.006,1.62204406424161
"88","Copsychus fulicatus",0.02,3.47559118949631
"89","Columba livia",0.035,2.04943771543421
"90","Cinnyris lotenius",0.627,0.425663405683364
"91","Cinnyris asiaticus",0.083,1.67456548733559
"92","Chrysocolaptes guttacristatus",0.295,0.619132065585054
"93","Chloropsis jerdoni",0.762,0.357925584983099
"94","Chloropsis aurifrons",0.963,0.179394545587694
"95","Chalcophaps indica",0.987,0.202334509684576
"96","Centropus sinensis",0.012,2.26394496387159
"97","Cecropis daurica",0.92,0.171133753552276
"98","Bubulcus ibis",0.793,0.540779922839352
"99","Artamus fuscus",0.296,0.287730568672617
"100","Ardeola grayii",0.655,0.532877444041737
"101","Amaurornis phoenicurus",0.007,12.4567463011697
"102","Alcippe poioicephala",0.845,0.35656393595355
"103","Alcedo atthis",0.25,0.686835839618282
"104","Aegithina tiphia",0.434,0.790615408257262
"105","Acrocephalus dumetorum",0.894,0.697434834166559
"106","Acridotheres tristis",0.034,1.31039363563197
"107","Acridotheres fuscus",0.132,1.15959825291148
