scientific_name,common_name,cutoff_prop_of_grid_3_per_chk,count
Ficedula nigrorufa,Black-and-orange Flycatcher,0.5,1454
Montecincla fairbanki,Palani Laughingthrush,0.545454545,1615
Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,0.518518519,2510
Picus xanthopygaeus,Streak-throated Woodpecker,0.5,2567
Alcippe poioicephala,Brown-cheeked Fulvetta,0.633333333,3204
Hypsipetes ganeesa,Square-tailed Bulbul,0.538461538,3404
Turdus simillimus,Indian Blackbird,0.678571429,3968
Yungipicus nanus,Brown-capped Woodpecker,0.633333333,4026
Treron affinis,Gray-fronted Green-Pigeon,0.516129032,4371
Dendrocitta leucogastra,White-bellied Treepie,0.538461538,4374
Chalcophaps indica,Asian Emerald Dove,0.9,4772
Sitta frontalis,Velvet-fronted Nuthatch,0.896551724,5428
Rubigula gularis,Flame-throated Bulbul,0.518518519,5716
Irena puella,Asian Fairy-bluebird,0.806451613,6404
Hypothymis azurea,Black-naped Monarch,0.516129032,6488
Psilopogon malabaricus,Malabar Barbet,0.5,6984
Chrysocolaptes guttacristatus,Greater Flameback,0.878787879,7193
Muscicapa dauurica,Asian Brown Flycatcher,0.774193548,7305
Pellorneum ruficeps,Puff-throated Babbler,0.7,8012
Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.827586207,8389
Leptocoma minima,Crimson-backed Sunbird,0.866666667,8566
Geokichla citrina,Orange-headed Thrush,0.633333333,8869
Prinia hodgsonii,Gray-breasted Prinia,0.741935484,9125
Merops leschenaulti,Chestnut-headed Bee-eater,0.888888889,9366
Pericrocotus cinnamomeus,Small Minivet,0.741935484,10013
Ocyceros griseus,Malabar Gray Hornbill,0.620689655,10173
Upupa epops,Eurasian Hoopoe,0.666666667,10378
Cyornis tickelliae,Tickell's Blue Flycatcher,0.7,10786
Lanius schach,Long-tailed Shrike,0.551724138,10864
Psittacula columboides,Malabar Parakeet,0.90625,11078
Gracula indica,Southern Hill Myna,0.875,12683
Myophonus horsfieldii,Malabar Whistling-Thrush,0.9,13091
Pericrocotus flammeus,Orange Minivet,1,13584
Iole indica,Yellow-browed Bulbul,0.870967742,14582
Dicrurus aeneus,Bronzed Drongo,0.735294118,15140
Psittacula cyanocephala,Plum-headed Parakeet,0.818181818,15999
Motacilla cinerea,Gray Wagtail,0.852941176,16132
Lanius cristatus,Brown Shrike,0.647058824,16134
Parus cinereus,Cinereous Tit,0.709677419,16408
Zosterops palpebrosus,Indian White-eye,0.821428571,17472
Hierococcyx varius,Common Hawk-Cuckoo,0.787878788,19611
Terpsiphone paradisi,Indian Paradise-Flycatcher,0.742857143,20375
Cinnyris lotenius,Loten's Sunbird,0.696969697,20391
Dicrurus leucophaeus,Ashy Drongo,0.848484848,20393
Loriculus vernalis,Vernal Hanging-Parrot,0.9375,20495
Pycnonotus luteolus,White-browed Bulbul,0.617647059,27519
Aegithina tiphia,Common Iora,0.823529412,27607
Copsychus fulicatus,Indian Robin,0.516129032,28481
Oriolus xanthornus,Black-hooded Oriole,0.794117647,29065
Oriolus kundoo,Indian Golden Oriole,0.864864865,30094
Passer domesticus,House Sparrow,0.685714286,31090
Saxicola caprata,Pied Bushchat,0.838709677,33819
Motacilla maderaspatensis,White-browed Wagtail,0.852941176,34542
Psilopogon haemacephalus,Coppersmith Barbet,0.833333333,35140
Dicrurus paradiseus,Greater Racket-tailed Drongo,0.848484848,37902
Acridotheres fuscus,Jungle Myna,0.878787879,39356
Pavo cristatus,Indian Peafowl,0.833333333,39850
Acrocephalus dumetorum,Blyth's Reed Warbler,0.972222222,41917
Dinopium benghalense,Black-rumped Flameback,0.918918919,44572
Cinnyris asiaticus,Purple Sunbird,0.973684211,50266
Merops orientalis,Green Bee-eater,0.771428571,54837
Prinia socialis,Ashy Prinia,0.588235294,57083
Dendrocitta vagabunda,Rufous Treepie,0.864864865,68284
Streptopelia chinensis,Spotted Dove,1,79290
Copsychus saularis,Oriental Magpie-Robin,1,79432
Pycnonotus cafer,Red-vented Bulbul,1,82644
Centropus sinensis,Greater Coucal,1,89551
Orthotomus sutorius,Common Tailorbird,1,93059
Leptocoma zeylonica,Purple-rumped Sunbird,1,95108
Pycnonotus jocosus,Red-whiskered Bulbul,0.972222222,96981
Psittacula krameri,Rose-ringed Parakeet,0.769230769,97708
Dicrurus macrocercus,Black Drongo,0.925,99929
Halcyon smyrnensis,White-throated Kingfisher,1,105745
Psilopogon viridis,White-cheeked Barbet,1,108124
Eudynamys scolopaceus,Asian Koel,0.820512821,111818
Columba livia,Rock Pigeon,0.789473684,117223
Corvus macrorhynchos,Large-billed Crow,1,132190
Acridotheres tristis,Common Myna,0.975,159936
Corvus splendens,House Crow,1,183926
