scientific_name,common_name
Ficedula nigrorufa,Black-and-orange Flycatcher
Montecincla fairbanki,Palani Laughingthrush
Culicicapa ceylonensis,Gray-headed Canary-Flycatcher
Picus xanthopygaeus,Streak-throated Woodpecker
Alcippe poioicephala,Brown-cheeked Fulvetta
Hypsipetes ganeesa,Square-tailed Bulbul
Turdus simillimus,Indian Blackbird
Yungipicus nanus,Brown-capped Woodpecker
Treron affinis,Gray-fronted Green-Pigeon
Dendrocitta leucogastra,White-bellied Treepie
Chalcophaps indica,Asian Emerald Dove
Sitta frontalis,Velvet-fronted Nuthatch
Rubigula gularis,Flame-throated Bulbul
Irena puella,Asian Fairy-bluebird
Hypothymis azurea,Black-naped Monarch
Psilopogon malabaricus,Malabar Barbet
Chrysocolaptes guttacristatus,Greater Flameback
Muscicapa dauurica,Asian Brown Flycatcher
Pellorneum ruficeps,Puff-throated Babbler
Pomatorhinus horsfieldii,Indian Scimitar-Babbler
Leptocoma minima,Crimson-backed Sunbird
Geokichla citrina,Orange-headed Thrush
Prinia hodgsonii,Gray-breasted Prinia
Merops leschenaulti,Chestnut-headed Bee-eater
Pericrocotus cinnamomeus,Small Minivet
Ocyceros griseus,Malabar Gray Hornbill
Upupa epops,Eurasian Hoopoe
Cyornis tickelliae,Tickell's Blue Flycatcher
Lanius schach,Long-tailed Shrike
Psittacula columboides,Malabar Parakeet
Gracula indica,Southern Hill Myna
Myophonus horsfieldii,Malabar Whistling-Thrush
Pericrocotus flammeus,Orange Minivet
Iole indica,Yellow-browed Bulbul
Dicrurus aeneus,Bronzed Drongo
Psittacula cyanocephala,Plum-headed Parakeet
Motacilla cinerea,Gray Wagtail
Lanius cristatus,Brown Shrike
Parus cinereus,Cinereous Tit
Zosterops palpebrosus,Indian White-eye
Hierococcyx varius,Common Hawk-Cuckoo
Terpsiphone paradisi,Indian Paradise-Flycatcher
Cinnyris lotenius,Loten's Sunbird
Dicrurus leucophaeus,Ashy Drongo
Loriculus vernalis,Vernal Hanging-Parrot
Pycnonotus luteolus,White-browed Bulbul
Aegithina tiphia,Common Iora
Copsychus fulicatus,Indian Robin
Oriolus xanthornus,Black-hooded Oriole
Oriolus kundoo,Indian Golden Oriole
Passer domesticus,House Sparrow
Saxicola caprata,Pied Bushchat
Motacilla maderaspatensis,White-browed Wagtail
Psilopogon haemacephalus,Coppersmith Barbet
Dicrurus paradiseus,Greater Racket-tailed Drongo
Acridotheres fuscus,Jungle Myna
Pavo cristatus,Indian Peafowl
Acrocephalus dumetorum,Blyth's Reed Warbler
Dinopium benghalense,Black-rumped Flameback
Cinnyris asiaticus,Purple Sunbird
Merops orientalis,Green Bee-eater
Prinia socialis,Ashy Prinia
Dendrocitta vagabunda,Rufous Treepie
Streptopelia chinensis,Spotted Dove
Copsychus saularis,Oriental Magpie-Robin
Pycnonotus cafer,Red-vented Bulbul
Centropus sinensis,Greater Coucal
Orthotomus sutorius,Common Tailorbird
Leptocoma zeylonica,Purple-rumped Sunbird
Pycnonotus jocosus,Red-whiskered Bulbul
Psittacula krameri,Rose-ringed Parakeet
Dicrurus macrocercus,Black Drongo
Halcyon smyrnensis,White-throated Kingfisher
Psilopogon viridis,White-cheeked Barbet
Eudynamys scolopaceus,Asian Koel
Columba livia,Rock Pigeon
Corvus macrorhynchos,Large-billed Crow
Acridotheres tristis,Common Myna
Corvus splendens,House Crow
